日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,885566.TI,大飞机,,,,,,
20251118,882029.TI,天津,,,,,,
20251118,885487.TI,天津自贸区,,,,,,
20251118,885430.TI,天然气,,,,,,
20251118,886043.TI,太赫兹,,,,,,
20251118,885595.TI,央企国企改革,,,,,,
20251118,399550.SZ,央视50,,,,,,
20251118,399551.SZ,央视创新,,,,,,
20251118,399553.SZ,央视回报,,,,,,
20251118,399552.SZ,央视成长,,,,,,
20251118,399557.SZ,央视文化,,,,,,
20251118,399554.SZ,央视治理,,,,,,
20251118,399556.SZ,央视生态,,,,,,
20251118,399555.SZ,央视责任,,,,,,
20251118,886042.TI,存储芯片,,,,,,
20251118,882021.TI,宁夏,,,,,,
20251118,885789.TI,宁德时代概念,,,,,,
20251118,882001.TI,安徽,,,,,,
20251118,885423.TI,安防,,,,,,
20251118,884294.TI,安防设备,,,,,,
20251118,884299.TI,定制家居,,,,,,
20251118,883964.TI,定增破发,,,,,,
20251118,886012.TI,宠物经济,,,,,,
20251118,884280.TI,宠物食品,,,,,,
20251118,881139.TI,家居用品,,,,,,
20251118,885981.TI,家庭医生,,,,,,
20251118,885543.TI,家用电器,,,,,,
20251118,884116.TI,家电零部件,,,,,,
20251118,884137.TI,家纺,,,,,,
20251118,883411.TI,密集调研,,,,,,
20251118,885786.TI,富士康概念,,,,,,
20251118,881173.TI,小家电,,,,,,
20251118,399901.SZ,小康指数,,,,,,
20251118,885785.TI,小米概念,,,,,,
20251118,886064.TI,小米汽车,,,,,,
20251118,886098.TI,小红书概念,,,,,,
20251118,881170.TI,小金属,,,,,,
20251118,885552.TI,小金属概念,,,,,,
20251118,882023.TI,山东,,,,,,
20251118,882024.TI,山西,,,,,,
20251118,885783.TI,工业互联网,,,,,,
20251118,885818.TI,工业大麻,,,,,,
20251118,000004.SH,工业指数,,,,,,
20251118,885930.TI,工业母机,,,,,,
20251118,881168.TI,工业金属,,,,,,
20251118,884219.TI,工控设备,,,,,,
20251118,884217.TI,工程咨询服务,,,,,,
20251118,881268.TI,工程机械,,,,,,
20251118,399313.SZ,巨潮100,,,,,,
20251118,399315.SZ,巨潮中盘,,,,,,
20251118,399314.SZ,巨潮大盘,,,,,,
20251118,399316.SZ,巨潮小盘,,,,,,
20251118,000155.SH,市值百强,,,,,,
20251118,885952.TI,幽门螺杆菌概念,,,,,,
20251118,882008.TI,广东(除深圳),,,,,,
20251118,885734.TI,广东自贸区,,,,,,
20251118,884178.TI,广告营销,,,,,,
20251118,882009.TI,广西,,,,,,
20251118,884290.TI,底盘与发动机系统,,,,,,
20251118,399235.SZ,建筑指数,,,,,,
20251118,881115.TI,建筑材料,,,,,,
20251118,885386.TI,建筑节能,,,,,,
20251118,881116.TI,建筑装饰,,,,,,
20251118,884117.TI,彩电,,,,,,
20251118,881274.TI,影视院线,,,,,,
20251118,883418.TI,微盘股,,,,,,
20251118,GDAXI.GI,德国DAX,,,,,,
20251118,885918.TI,快手概念,,,,,,
20251118,HSCE.HK,恒生中国企业,,,,,,
20251118,HSI.HK,恒生指数,,,,,,
20251118,399003.SZ,成份B指,,,,,,
20251118,884298.TI,成品家居,,,,,,
20251118,399326.SZ,成长40,,,,,,
20251118,886030.TI,成飞概念,,,,,,
20251118,881153.TI,房地产,,,,,,
20251118,884248.TI,房地产服务,,,,,,
20251118,884066.TI,房屋建设,,,,,,
20251118,886087.TI,房屋检测,,,,,,
20251118,885457.TI,手机游戏,,,,,,
20251118,885968.TI,托育服务,,,,,,
20251118,399236.SZ,批零指数,,,,,,
20251118,885890.TI,抖音概念(字节概念),,,,,,
20251118,885935.TI,抽水蓄能,,,,,,
20251118,885910.TI,拼多多概念,,,,,,
20251118,885938.TI,换电概念,,,,,,
20251118,885742.TI,摘帽,,,,,,
20251118,884048.TI,改性塑料,,,,,,
20251118,881178.TI,教育,,,,,,
20251118,885842.TI,数字乡村,,,,,,
20251118,884261.TI,数字媒体,,,,,,
20251118,885820.TI,数字孪生,,,,,,
20251118,886034.TI,数字水印,,,,,,
